speech_id,speech_url,speech_keyword,speech_duration,speech_date_start,speech_date_end,speech_agenda_item_title,sentence_speaker,sentence_speaker_status,sentence_speaker_party,sentence_speaker_faction,sentence_type,sentence_text,sentence_time_start,sentence_time_end,sentence_duration,sentence_sentiment_score,sentence_sentiment_positive_weight,sentence_sentiment_negative_weight,sentence_sentiment_neutral_weight
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,Nina Warken,main-speaker,CDU,CDU/CSU,speech,Frau Präsidentin!,1.0,7.64,6.64,positive,0.6170027852058411,0.28104719519615173,0.1019500121474266
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,Nina Warken,main-speaker,CDU,CDU/CSU,speech,Liebe Kolleginnen und Kollegen!,10.52,13.64,3.120000000000001,positive,0.946783721446991,0.03850653022527695,0.014709698036313057
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,Nina Warken,main-speaker,CDU,CDU/CSU,speech,Ziemlich genau zwei Jahre leben wir jetzt in und mit der Pandemie.,13.64,18.64,5.0,neutral,0.0032064607366919518,0.007692743558436632,0.9891007542610168
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,Nina Warken,main-speaker,CDU,CDU/CSU,speech,"Über 9 Millionen Menschen in Deutschland – mindestens – haben sich infiziert, gut 160 000 Menschen hat die Krankheit so schwer getroffen, dass sie auf den Intensivstationen behandelt werden mussten.",18.64,29.46,10.82,neutral,4.711738438345492e-05,0.00012247827544342726,0.9998303651809692
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,Nina Warken,main-speaker,CDU,CDU/CSU,speech,"Auch aktuell sind es Hunderte, die ganz überwiegend dem Tod näher sind als dem Leben.",29.46,35.24,5.780000000000001,neutral,4.9659597607387695e-06,9.334496098745149e-06,0.9999856948852539
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,Nina Warken,main-speaker,CDU,CDU/CSU,speech,"Bis heute sind in Deutschland rund 117 000 Personen aufgrund von Covid‑19 verstorben,",35.24,41.64,6.399999999999999,neutral,3.597851673475816e-06,5.201565727475099e-06,0.9999911785125732
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,,,,,comment,"(Jörn König [AfD]: „An und mit Covid‑19“, Frau Warken!)",35.24,51.72,16.479999999999997,neutral,0.0005864406703040004,0.001793410861864686,0.997620165348053
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,Nina Warken,main-speaker,CDU,CDU/CSU,speech,auch wenn die Realitätsverweigerer und Coronaleugner insbesondere von rechts außen das krakeelend und verharmlosend in Abrede stellen.,41.64,51.72,10.079999999999998,neutral,8.595132385380566e-06,2.0257661162759177e-05,0.9999711513519287
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,,,,,comment,(Jörn König [AfD]: „An und mit Covid‑19“ – offizielle Darstellung!),41.64,64.26,22.620000000000005,neutral,1.5934236216708086e-05,4.089626600034535e-05,0.9999431371688843
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,Covid,270,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,Nina Warken,main-speaker,CDU,CDU/CSU,speech,"In dieser Zeit hat der Staat Maßnahmen ergriffen und Regeln geschaffen, die in ganz erheblichem Maße Freiheitsrechte in einer Art und Weise einschränken, wie viele es für nicht möglich gehalten hätten.",51.72,64.26,12.540000000000006,neutral,3.821451628027717e-06,4.780656581715448e-06,0.9999914169311523
