speech_id,speech_url,speech_duration,speech_keyword,speech_date_start,speech_date_end,speech_agenda_item_title,main_speaker,main_speaker_party,main_speaker_faction,speech_negative_duration,speech_negative_percentage,speech_neutral_duration,speech_neutral_percentage,speech_positive_duration,speech_positive_percentage
ID209014700,https://de.openparliament.tv/api/v1/media/DE-0200090038,327,Covid,2023-03-15T17:18:39+01:00,2023-03-15T17:24:06+01:00,Tagesordnungspunkt 4,Katrin Staffler,CSU,CDU/CSU,61.660000000000046,0.19505251170441618,250.97999999999996,0.7939390105023407,3.4800000000000058,0.01100847779324309
ID207004500,https://de.openparliament.tv/api/v1/media/DE-0200070049,335,Covid,2022-11-24T12:36:20+01:00,2022-11-24T12:41:55+01:00,Einzelplan 15,Erich Irlstorfer,CSU,CDU/CSU,46.18000000000005,0.146435819381025,223.99999999999991,0.7102993404363265,45.18000000000006,0.14326484018264857
ID209015300,https://de.openparliament.tv/api/v1/media/DE-0200090044,336,Covid,2023-03-15T17:44:11+01:00,2023-03-15T17:49:47+01:00,Tagesordnungspunkt 4,Erich Irlstorfer,CSU,CDU/CSU,23.58000000000002,0.07081081081081086,297.26,0.8926726726726727,12.159999999999997,0.03651651651651651
ID201310100,https://de.openparliament.tv/api/v1/media/DE-0200013040,270,Covid,2022-01-26T16:53:29,2022-01-26T16:57:59,Tagesordnungspunkt 3,Nina Warken,CDU,CDU/CSU,0.0,0.0,235.95999999999998,0.916136045969871,21.600000000000005,0.08386395403012892
ID207706900,https://de.openparliament.tv/api/v1/media/DE-0200077083,261,Covid,2022-12-16T14:17:57+01:00,2022-12-16T14:22:18+01:00,Zusatzpunkt 17,Stephan Pilsinger,CSU,CDU/CSU,8.919999999999987,0.03511811023622042,239.96000000000004,0.944724409448819,5.119999999999991,0.020157480314960594
ID207911100,https://de.openparliament.tv/api/v1/media/DE-0200079132,282,Covid,2023-01-19T18:47:10+01:00,2023-01-19T18:51:52+01:00,Tagesordnungspunkt 17,Herbert Wollmann,SPD,SPD,47.959999999999994,0.17567765567765564,215.58000000000004,0.7896703296703298,9.459999999999951,0.03465201465201447
ID209015600,https://de.openparliament.tv/api/v1/media/DE-0200090047,181,Covid,2023-03-15T17:57:42+01:00,2023-03-15T18:00:43+01:00,Tagesordnungspunkt 4,Maja Wallstein,SPD,SPD,3.84,0.022566995768688293,134.2,0.7886694875411377,32.12000000000001,0.18876351669017402
ID207208800,https://de.openparliament.tv/api/v1/media/DE-0200072021,333,Covid,2022-11-30T15:20:52+01:00,2022-11-30T15:26:25+01:00,Zusatzpunkt 1,Dagmar Schmidt,SPD,SPD,18.24,0.05866460825935931,289.04,0.9296282001801106,3.6400000000000006,0.011707191560530041
ID207704300,https://de.openparliament.tv/api/v1/media/DE-0200077051,321,Covid,2022-12-16T12:18:37+01:00,2022-12-16T12:23:58+01:00,Zusatzpunkt 13,Herbert Wollmann,SPD,SPD,54.44,0.1711949685534591,253.88000000000002,0.7983647798742137,9.67999999999998,0.030440251572326976
ID209014900,https://de.openparliament.tv/api/v1/media/DE-0200090040,264,Covid,2023-03-15T17:28:24+01:00,2023-03-15T17:32:48+01:00,Tagesordnungspunkt 4,Michael Kaufmann,AfD,AfD,10.68,0.04289845758354756,237.56,0.9542095115681234,0.7199999999999989,0.002892030848329044
