speech_id,speech_url,speech_duration,speech_keyword,speech_date_start,speech_date_end,speech_agenda_item_title,main_speaker,main_speaker_party,main_speaker_faction,speech_negative_duration,speech_negative_percentage,speech_neutral_duration,speech_neutral_percentage,speech_positive_duration,speech_positive_percentage
ID204311700,https://de.openparliament.tv/api/v1/media/DE-0200043045,336,Europäische Union,2022-06-22T16:10:45,2022-06-22T16:16:21,Tagesordnungspunkt 4,Christoph Ploß,CDU,CDU/CSU,11.980000000000018,0.035855381300131745,302.59999999999997,0.9056626361786183,19.540000000000042,0.058481982521249976
ID203701300,https://de.openparliament.tv/api/v1/media/DE-0200037015,345,Europäische Union,2022-05-19T08:49:43,2022-05-19T08:55:28,Tagesordnungspunkt 8,Gunther Krichbaum,CDU,CDU/CSU,28.360000000000028,0.08233654627801658,298.17999999999995,0.8656950412263382,17.900000000000027,0.05196841249564518
ID201801600,https://de.openparliament.tv/api/v1/media/DE-0200018018,269,Europäische Union,2022-02-18T09:13:26,2022-02-18T09:17:55,Tagesordnungspunkt 19,Tobias Winkler,CSU,CDU/CSU,30.640000000000036,0.11903651903651918,223.14,0.8668997668997669,3.619999999999976,0.014063714063713973
ID203700800,https://de.openparliament.tv/api/v1/media/DE-0200037010,466,Europäische Union,2022-05-19T08:17:53,2022-05-19T08:25:39,Tagesordnungspunkt 8,Alexander Dobrindt,CSU,CDU/CSU,38.86,0.08382949348520147,408.38000000000005,0.8809647079126758,16.319999999999965,0.03520579860212262
ID203713700,https://de.openparliament.tv/api/v1/media/DE-0200037167,314,Europäische Union,2022-05-19T19:03:07,2022-05-19T19:08:21,Tagesordnungspunkt 18,Alexander Radwan,CSU,CDU/CSU,33.92000000000003,0.10877373011800934,268.29999999999995,0.8603771164699845,9.620000000000005,0.030849153412006173
ID204609500,https://de.openparliament.tv/api/v1/media/DE-0200046066,382,Europäische Union,2022-07-06T18:47:31+02:00,2022-07-06T18:53:53+02:00,Tagesordnungspunkt 5,Josip Juratovic,SPD,SPD,7.119999999999999,0.01920586965904186,358.98,0.9683318946914112,4.620000000000017,0.012462235649546873
ID203700700,https://de.openparliament.tv/api/v1/media/DE-0200037009,401,Europäische Union,2022-05-19T08:11:12,2022-05-19T08:17:53,Tagesordnungspunkt 8,Achim Post,SPD,SPD,18.80000000000001,0.04748913812266346,338.26,0.854450843690007,38.82,0.0980600181873295
ID201402400,https://de.openparliament.tv/api/v1/media/DE-0200014031,352,Europäische Union,2022-01-27T13:03:24,2022-01-27T13:09:16,Tagesordnungspunkt 5,Fabian Funke,SPD,SPD,16.89999999999999,0.05512787056367429,275.12,0.8974425887265136,14.539999999999994,0.04742954070981209
ID209310500,https://de.openparliament.tv/api/v1/media/DE-0200093063,282,Europäische Union,2023-03-29T18:38:33+02:00,2023-03-29T18:43:15+02:00,Zusatzpunkt 2,Fabian Funke,SPD,SPD,33.52,0.12789987789987795,222.67999999999995,0.8496642246642248,5.879999999999999,0.02243589743589744
ID209310700,https://de.openparliament.tv/api/v1/media/DE-0200093065,33,Europäische Union,2023-03-29T18:45:06+02:00,2023-03-29T18:45:39+02:00,Zusatzpunkt 2,Fabian Funke,SPD,SPD,1.8000000000000007,0.07142857142857145,22.48,0.8920634920634921,0.9199999999999982,0.036507936507936434
ID201401900,https://de.openparliament.tv/api/v1/media/DE-0200014026,284,Europäische Union,2022-01-27T12:38:20,2022-01-27T12:43:04,Tagesordnungspunkt 5,Norbert Kleinwächter,AfD,AfD,18.700000000000024,0.06745058433126541,258.53999999999996,0.9325494156687345,0.0,0.0
ID201010100,https://de.openparliament.tv/api/v1/media/DE-0200010054,213,Europäische Union,2022-01-12T17:25:50,2022-01-12T17:29:23,Tagesordnungspunkt 2,Norbert Kleinwächter,AfD,AfD,8.999999999999986,0.0445721077654516,188.51999999999998,0.9336370839936609,4.400000000000003,0.021790808240887496
ID201709300,https://de.openparliament.tv/api/v1/media/DE-0200017112,207,Europäische Union,2022-02-17T15:29:40,2022-02-17T15:33:07,Tagesordnungspunkt 13,Gottfried Curio,AfD,AfD,26.72000000000003,0.14051325199831738,163.43999999999997,0.8594867480016827,0.0,0.0
ID206619100,https://de.openparliament.tv/api/v1/media/DE-0200066251,201,Europäische Union,2022-11-11T01:13:18+01:00,2022-11-11T01:16:39+01:00,Tagesordnungspunkt 30,Andreas Bleck,CDU,AfD,8.439999999999998,0.04263487573247119,183.96,0.9292786421499293,5.560000000000002,0.028086482117599527
ID203900900,https://de.openparliament.tv/api/v1/media/DE-0200039013,261,Europäische Union,2022-05-31T08:59:40,2022-05-31T09:04:01,"Tagesordnungspunkt EPL 08, 20",Harald Weyel,AfD,AfD,30.07999999999999,0.12247557003257326,215.12,0.8758957654723127,0.3999999999999999,0.0016286644951140062
ID203714000,https://de.openparliament.tv/api/v1/media/DE-0200037170,292,Europäische Union,2022-05-19T19:18:46,2022-05-19T19:23:38,Tagesordnungspunkt 18,Ann-Veruschka Jurisch,FDP,FDP,14.8,0.05158951477969883,256.15999999999997,0.8929168990518683,15.920000000000016,0.05549358616843285
ID209100500,https://de.openparliament.tv/api/v1/media/DE-0200091007,364,Europäische Union,2023-03-16T09:54:45+01:00,2023-03-16T10:00:49+01:00,Tagesordnungspunkt 7,Christian Dürr,FDP,FDP,66.27999999999996,0.1835807666740526,281.3400000000001,0.7792488366939954,13.419999999999964,0.03717039663195204
ID208401000,https://de.openparliament.tv/api/v1/media/DE-0200084014,290,Europäische Union,2023-02-08T14:12:23+01:00,2023-02-08T14:17:13+01:00,Tagesordnungspunkt 1,Alexander Graf Lambsdorff,FDP,FDP,57.00000000000003,0.20805957074025416,192.42000000000002,0.7023653088042051,24.53999999999995,0.08957512045554078
ID207513900,https://de.openparliament.tv/api/v1/media/DE-0200075057,333,Europäische Union,2022-12-14T18:09:51+01:00,2022-12-14T18:15:24+01:00,Tagesordnungspunkt 4,Anikó Glogowski-Merten,FDP,FDP,12.26,0.03807453416149069,301.29999999999995,0.9357142857142857,8.440000000000024,0.026211180124223684
ID201400600,https://de.openparliament.tv/api/v1/media/DE-0200014010,290,Europäische Union,2022-01-27T11:23:07,2022-01-27T11:27:57,Zusatzpunkt 1,Alexander Graf Lambsdorff,FDP,FDP,3.8799999999999812,0.014402375649591617,244.72000000000006,0.9083890126206388,20.799999999999947,0.07720861172976967
