speech_id,speech_url,speech_keyword,speech_duration,speech_date_start,speech_date_end,speech_agenda_item_title,sentence_speaker,sentence_speaker_status,sentence_speaker_party,sentence_speaker_faction,sentence_type,sentence_text,sentence_time_start,sentence_time_end,sentence_duration,sentence_sentiment_score,sentence_sentiment_positive_weight,sentence_sentiment_negative_weight,sentence_sentiment_neutral_weight
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,Gesine Lötzsch,main-speaker,SED,DIE LINKE,speech,Vielen Dank.,1.0,7.28,6.28,positive,0.9232267141342163,0.04290890693664551,0.03386438265442848
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,Gesine Lötzsch,main-speaker,SED,DIE LINKE,speech,– Frau Präsidentin!,7.28,8.88,1.6000000000000005,positive,0.6170027852058411,0.28104719519615173,0.1019500121474266
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,Gesine Lötzsch,main-speaker,SED,DIE LINKE,speech,Meine sehr geehrten Damen und Herren!,8.88,10.98,2.0999999999999996,negative,0.009883733466267586,0.9672001600265503,0.022916162386536598
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,Gesine Lötzsch,main-speaker,SED,DIE LINKE,speech,"In Berlin findet gerade ein großer Gesundheitskongress statt, und Bundesminister Lauterbach forderte: Gesundheit muss einen neuen und größeren Stellenwert in der Gesellschaft bekommen.",10.98,20.68,9.7,neutral,2.9181277568568476e-05,6.516699068015441e-05,0.9999055862426758
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,Gesine Lötzsch,main-speaker,SED,DIE LINKE,speech,– Das ist richtig.,20.68,21.68,1.0,positive,0.866066038608551,0.12010053545236588,0.01383347250521183
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,,,,,comment,(Beifall des Abg. Lars Lindemann [FDP]),20.68,25.0,4.32,neutral,0.0019997786730527878,0.006336222868412733,0.9916640520095825
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,Gesine Lötzsch,main-speaker,SED,DIE LINKE,speech,"Doch wo, Herr Lauterbach, wird das im Bundeshaushalt abgebildet?",21.68,25.0,3.3200000000000003,neutral,3.5475482036417816e-06,8.246314791904297e-06,0.9999881982803345
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,Gesine Lötzsch,main-speaker,SED,DIE LINKE,speech,Wir haben es nicht gefunden.,25.0,26.52,1.5199999999999996,negative,0.004362902138382196,0.9954909682273865,0.00014624746108893305
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,,,,,comment,(Beifall bei der LINKEN),25.0,35.8,10.799999999999997,neutral,0.009498038329184055,0.045518238097429276,0.944983720779419
ID202502600,https://de.openparliament.tv/api/v1/media/DE-0200025030,Gesundheit,195,2022-03-24T10:29:10,2022-03-24T10:32:25,Tagesordnungspunkt 1 Epl 15,Gesine Lötzsch,main-speaker,SED,DIE LINKE,speech,"Stellen wir uns doch nur einmal drei Minuten vor, aus dem „Sondervermögen Bundeswehr“ würde ein „Sondervermögen Gesundheit“ werden.",26.52,35.8,9.279999999999998,neutral,0.0011181920999661088,0.004639263730496168,0.9942424893379211
